sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,fdr_qvalue,fdr_reject_10pct
native,cashflow_price,Operating cash flow / market cap,6m,44,2139,0.14666361763278035,0.1328596541524757,0.13790984292511702,0.8863636363636364,5.814384698632164,6.085731474314571e-09,1.3997182390923513e-07,True
native,cashflow_price,Operating cash flow / market cap,12m,38,1736,0.20338963679306774,0.2002333766549666,0.13230523768026364,0.9736842105263158,5.361195499292696,8.267298623465535e-08,1.9014786833970732e-06,True
native,sales_price,Revenue / market cap,1m,61,2616,0.01959641367483364,0.006495813296268232,0.27613926580137627,0.5081967213114754,0.5259846945824513,0.5988988412409446,0.79262919955336,False
native,sales_price,Revenue / market cap,3m,59,2476,0.04385293143157696,0.02785241891248453,0.27889219841652957,0.5932203389830508,0.8363037703030066,0.4029840326360574,0.5452136912134895,False
native,sales_price,Revenue / market cap,6m,56,2266,0.05104415138550063,0.07766318495518776,0.24711068702931596,0.625,0.7970362298817676,0.4254299902984544,0.7445434728195034,False
native,sales_price,Revenue / market cap,12m,50,1857,0.1494663319254046,0.22361958166658769,0.23755019553404796,0.78,2.122951201408621,0.03375794125407072,0.09705408110545333,True
native,ebitda_ev_yield,EBITDA / enterprise value,1m,75,2424,0.033869539236709524,0.01801874925391118,0.34455930104326565,0.56,0.9154526888374404,0.35995402883817995,0.79262919955336,False
native,ebitda_ev_yield,EBITDA / enterprise value,3m,73,2293,0.06680320195981186,0.017579799896105777,0.29993913053325555,0.5342465753424658,1.1504597533224,0.2499545615634542,0.47907957632995385,False
native,ebitda_ev_yield,EBITDA / enterprise value,6m,70,2094,0.051296340560207945,0.030966976504127622,0.32068709301723836,0.5857142857142857,0.6542385358691871,0.5129581379370232,0.7445434728195034,False
native,ebitda_ev_yield,EBITDA / enterprise value,12m,64,1703,0.05237360630211868,0.03798370962353673,0.2167442316207304,0.59375,1.1190423088789727,0.26312208983301666,0.43227200472567023,False
native,small_size,-log(MarketCap),1m,61,2640,0.01832485811327191,-0.009008837058385663,0.3038012425658247,0.47540983606557374,0.48538890546422503,0.6274005007919237,0.79262919955336,False
native,small_size,-log(MarketCap),3m,59,2500,0.06242093148801159,0.041854542427289136,0.26699934665040564,0.6101694915254238,1.2567234016593378,0.20885381115820012,0.47907957632995385,False
native,small_size,-log(MarketCap),6m,56,2290,0.0839288745610408,0.10870986136379127,0.28779448600573526,0.6428571428571429,1.301348371323795,0.1931392371198557,0.5552753067195851,False
native,small_size,-log(MarketCap),12m,50,1881,0.205443016807159,0.25151336355139403,0.2088424004431505,0.8,5.014840650679741,5.307743626836725e-07,4.069270113908156e-06,True
native,size_log_mcap,log(MarketCap),1m,61,2640,-0.01832485811327191,0.009008837058385663,0.3038012425658247,0.5081967213114754,-0.48538890546422503,0.6274005007919237,0.79262919955336,False
native,size_log_mcap,log(MarketCap),3m,59,2500,-0.06242093148801159,-0.041854542427289136,0.26699934665040564,0.3898305084745763,-1.2567234016593378,0.20885381115820012,0.47907957632995385,False
native,size_log_mcap,log(MarketCap),6m,56,2290,-0.0839288745610408,-0.10870986136379127,0.28779448600573526,0.35714285714285715,-1.301348371323795,0.1931392371198557,0.5552753067195851,False
native,size_log_mcap,log(MarketCap),12m,50,1881,-0.205443016807159,-0.25151336355139403,0.2088424004431505,0.2,-5.014840650679741,5.307743626836725e-07,4.069270113908156e-06,True
native,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,1m,75,2613,-0.013990840082377248,-0.035650093586556277,0.3406997455577919,0.4266666666666667,-0.38414414237101335,0.700871615823113,0.79262919955336,False
native,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,3m,73,2477,0.001979783849487853,-0.03974404469176015,0.29667391099642815,0.4246575342465753,0.045503352384362636,0.9637061028519049,0.9637061028519049,False
native,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,6m,70,2273,0.016052563205674934,-0.057532243829113476,0.2830339276163448,0.42857142857142855,0.27299727898197856,0.7848553072184323,0.7848553072184323,False
native,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,12m,64,1876,-0.05188630008586267,-0.06367937667372968,0.3192407189075191,0.421875,-0.5244595177911467,0.5999589693716256,0.6899528147773695,False
native,gross_profitability,Gross profit / total assets,1m,49,1934,-0.056654017457784554,-0.04536011741089512,0.2552479298294324,0.40816326530612246,-1.4559437348344237,0.14540817422259256,0.6577558513562008,False
native,gross_profitability,Gross profit / total assets,3m,47,1826,-0.12201084353989064,-0.15816730023769715,0.23543910417547362,0.2553191489361702,-2.5363817040198553,0.011200457708285594,0.08587017576352289,True
native,gross_profitability,Gross profit / total assets,6m,44,1664,-0.19582685969167385,-0.18978418510081496,0.2218929920780426,0.13636363636363635,-3.270631888970531,0.0010730749142613405,0.012340361514005416,True
native,gross_profitability,Gross profit / total assets,12m,38,1352,-0.3360131441942148,-0.25740767539371845,0.21602627104586145,0.02631578947368421,-3.881921426934015,0.00010363436529581271,0.0005958976004509231,True
native,roe_standalone,Net income / book equity or stored ROE,1m,75,2734,-0.048285009892182644,-0.06670126222657273,0.3224315901538442,0.3466666666666667,-1.3671174868627534,0.1715884829624872,0.6577558513562008,False
native,roe_standalone,Net income / book equity or stored ROE,3m,73,2592,-0.051621977865783764,-0.041507024265644954,0.2987912805276844,0.3287671232876712,-1.0645805911499489,0.2870657667292562,0.5078855872902225,False
native,roe_standalone,Net income / book equity or stored ROE,6m,70,2379,-0.03239048968487585,-0.10463500366098233,0.3259468560000048,0.42857142857142855,-0.42727373164837273,0.6691799633676747,0.7445434728195034,False
native,roe_standalone,Net income / book equity or stored ROE,12m,64,1964,-0.16407598357807676,-0.13291694946131988,0.43218048201877196,0.40625,-1.0688302951570539,0.28514614560588036,0.43722408992901657,False
native,roa_standalone,Net income / total assets or stored ROA,1m,75,2734,-0.020329191217848847,-0.0062463829462585515,0.32761211796460027,0.48,-0.571005967219848,0.5679955978998981,0.79262919955336,False
native,roa_standalone,Net income / total assets or stored ROA,3m,73,2592,-0.04477613853972663,-0.03571428571428572,0.2887671498367361,0.4383561643835616,-0.9620340024502767,0.3360325240261437,0.5452136912134895,False
native,roa_standalone,Net income / total assets or stored ROA,6m,70,2379,-0.020671968131267728,-0.03511976505901289,0.30226887457736373,0.4714285714285714,-0.31721641117314503,0.7510793981785151,0.7848553072184323,False
native,roa_standalone,Net income / total assets or stored ROA,12m,64,1964,-0.11291899017281577,-0.10411712874455761,0.3116274024806085,0.203125,-1.4074392261632134,0.15929718644933022,0.3581976376680945,False
native,accrual_quality,-(Net income - CFO) / assets,1m,49,2503,-0.023538008956842965,0.02032078243232431,0.21670473062376633,0.5510204081632653,-0.7905254317814183,0.4292209758870862,0.79262919955336,False
native,accrual_quality,-(Net income - CFO) / assets,3m,47,2365,-0.04897402663363559,0.006687647547190998,0.2642821094895125,0.5106382978723404,-0.8500923877467413,0.3952737234677173,0.5452136912134895,False
native,accrual_quality,-(Net income - CFO) / assets,6m,44,2158,-0.03756837400720321,0.033375734001494996,0.24268766646072182,0.5681818181818182,-0.5116502306539736,0.6088958238987221,0.7445434728195034,False
native,accrual_quality,-(Net income - CFO) / assets,12m,38,1755,-0.09006246607478866,0.05674645049658301,0.302775040883614,0.5789473684210527,-0.6956106837608718,0.48667267360132604,0.5891300785700263,False
native,piotroski_lite,Existing PIT Piotroski-lite score,1m,75,2840,-0.01671267334787797,0.0068568573559613785,0.26792996792349066,0.5066666666666667,-0.5373668368917154,0.5910142460623087,0.79262919955336,False
native,piotroski_lite,Existing PIT Piotroski-lite score,3m,73,2698,-0.04057310831717312,-0.02203119166124086,0.2711836467311497,0.410958904109589,-0.9193479515099428,0.3579136041045756,0.5452136912134895,False
native,piotroski_lite,Existing PIT Piotroski-lite score,6m,70,2485,-0.02598945660468107,-0.018455367889223882,0.2703971255444012,0.45714285714285713,-0.476199893541995,0.6339319753395167,0.7445434728195034,False
native,piotroski_lite,Existing PIT Piotroski-lite score,12m,64,2070,-0.06845527180042688,-0.06902442928658298,0.23257288497577988,0.34375,-1.1379026082300783,0.25516115205260403,0.43227200472567023,False
native,conservative_investment,-asset growth,1m,73,2673,-0.024555549627511126,0.0,0.3677383725393354,0.4794520547945205,-0.6249899418850496,0.5319776594796379,0.79262919955336,False
native,conservative_investment,-asset growth,3m,71,2531,-0.06309304423499332,-0.016666666666666666,0.33468634716429824,0.4507042253521127,-1.1649113509050446,0.24405487834883766,0.47907957632995385,False
native,conservative_investment,-asset growth,6m,68,2318,-0.05697491501066461,0.010610613778443207,0.3022304964955944,0.5147058823529411,-0.8597306894065937,0.3899375135220191,0.7445434728195034,False
native,conservative_investment,-asset growth,12m,62,1903,-0.06888442693308908,0.04073476816839389,0.29362949867703647,0.532258064516129,-0.8916245477093725,0.3725942080702507,0.5356041741009854,False
native,low_leverage,-debt/assets,1m,75,2734,0.05175689466008633,0.04104971820736301,0.28551974364871635,0.56,1.7755987170652792,0.07579908162379834,0.6577558513562008,False
native,low_leverage,-debt/assets,3m,73,2592,0.1190714674895863,0.10409383200815207,0.29390808278229724,0.6712328767123288,2.370229236525969,0.017777059423631503,0.10221809168588114,False
native,low_leverage,-debt/assets,6m,70,2379,0.1159691572585398,0.09381491847663487,0.3081727081292121,0.6714285714285714,2.0400302471020066,0.04134731320841678,0.2377470509483965,False
native,low_leverage,-debt/assets,12m,64,1964,0.12043469133225343,0.09999999999999999,0.31491459908735336,0.640625,1.3070266953249983,0.19120364526677114,0.366473653427978,False
native,momentum_12_1,prior 252 trading-day return skipping 21 days,1m,62,1991,0.044699173382081896,0.05603308818838515,0.3494436166395837,0.5483870967741935,0.9713675495884327,0.33136528191273795,0.79262919955336,False
native,momentum_12_1,prior 252 trading-day return skipping 21 days,3m,60,1855,0.051300682069245714,0.0240197281381882,0.37602131817637885,0.5166666666666667,0.7473916816420284,0.45482716510922705,0.5811680443062346,False
native,momentum_12_1,prior 252 trading-day return skipping 21 days,6m,57,1651,0.07512185386764333,0.0014819660258918862,0.4430896806330308,0.5087719298245614,0.6581966508199081,0.5104117766339349,0.7445434728195034,False
native,momentum_12_1,prior 252 trading-day return skipping 21 days,12m,51,1246,0.10776931665812281,0.1346492896346728,0.41133013531859564,0.5882352941176471,0.7152264388134766,0.4744691345950476,0.5891300785700263,False
native,momentum_6_1,prior 126 trading-day return skipping 21 days,1m,68,2350,0.005918531147277053,0.013646729566691142,0.301391619170577,0.5147058823529411,0.16203212414755389,0.8712805567119075,0.8712805567119075,False
native,momentum_6_1,prior 126 trading-day return skipping 21 days,3m,66,2212,0.015566490494757092,0.023617950197250548,0.32669738708057344,0.5454545454545454,0.28671759978204686,0.7743285604576042,0.8095253132056772,False
native,momentum_6_1,prior 126 trading-day return skipping 21 days,6m,63,2006,0.027917321977801023,0.006060606060606061,0.33603335073324747,0.5079365079365079,0.41273529569926576,0.6798005621395466,0.7445434728195034,False
native,momentum_6_1,prior 126 trading-day return skipping 21 days,12m,57,1597,0.0722814099488564,0.11665100995464789,0.3369909515867708,0.6140350877192983,0.7072972394436492,0.4793817807058738,0.5891300785700263,False
native,short_reversal,-prior 21 trading-day return,1m,74,2696,0.010316431810856242,0.005821247579502964,0.2739060569373615,0.5135135135135135,0.3078886527656364,0.7581670604423443,0.79262919955336,False
native,short_reversal,-prior 21 trading-day return,3m,72,2555,0.0165459554890614,0.006708560496253418,0.2607796395531294,0.5,0.5411164355922057,0.5884273304524741,0.644468028590805,False
native,short_reversal,-prior 21 trading-day return,6m,69,2347,-0.01706468466520014,-0.006060606060606061,0.2971712352168675,0.4927536231884058,-0.46649591267982743,0.6408605725641905,0.7445434728195034,False
native,short_reversal,-prior 21 trading-day return,12m,63,1939,-0.014382007227869734,-0.03326576094747519,0.2874872996339969,0.42857142857142855,-0.31268539407106466,0.7545196933776099,0.7888160430765921,False
native,beta_high,market beta over 252 days,1m,69,2418,0.015157357680733443,0.05695015369503181,0.3302918202565144,0.5652173913043478,0.3375848648601756,0.7356760493655408,0.79262919955336,False
native,beta_high,market beta over 252 days,3m,67,2280,0.045426710093941676,0.07263806401149453,0.3815816494280004,0.6268656716417911,0.6434171237320904,0.5199534752042312,0.5979464964848659,False
native,beta_high,market beta over 252 days,6m,64,2073,0.07864814242188058,0.12495373545603111,0.3741500433084128,0.65625,0.8596429370270163,0.38998589886411206,0.7445434728195034,False
native,beta_high,market beta over 252 days,12m,58,1663,0.12384704483638535,0.20031743143396813,0.33181946528352513,0.6724137931034483,1.3680005189532116,0.17131191366734955,0.3581976376680945,False
native,beta_low,-market beta over 252 days,1m,69,2418,-0.015157357680733443,-0.05695015369503181,0.3302918202565144,0.42028985507246375,-0.3375848648601756,0.7356760493655408,0.79262919955336,False
native,beta_low,-market beta over 252 days,3m,67,2280,-0.045426710093941676,-0.07263806401149453,0.3815816494280004,0.373134328358209,-0.6434171237320904,0.5199534752042312,0.5979464964848659,False
native,beta_low,-market beta over 252 days,6m,64,2073,-0.07864814242188058,-0.12495373545603111,0.3741500433084128,0.3125,-0.8596429370270163,0.38998589886411206,0.7445434728195034,False
native,beta_low,-market beta over 252 days,12m,58,1663,-0.12384704483638535,-0.20031743143396813,0.33181946528352513,0.3275862068965517,-1.3680005189532116,0.17131191366734955,0.3581976376680945,False
native,low_total_volatility,-annualized realized volatility,1m,69,2418,-0.026930132556321918,-0.010153834408520059,0.3238929382930814,0.4782608695652174,-0.721993326306938,0.4702985806214883,0.79262919955336,False
native,low_total_volatility,-annualized realized volatility,3m,67,2280,-0.08609152291195295,-0.04242424242424241,0.3033269093138528,0.4626865671641791,-1.6743636420847996,0.09405915374883755,0.360560089370544,False
native,low_total_volatility,-annualized realized volatility,6m,64,2073,-0.12971215099187772,-0.15821468107035158,0.32596791635152567,0.3125,-1.6216856771229222,0.10487066711868209,0.402004223954948,False
native,low_total_volatility,-annualized realized volatility,12m,58,1663,-0.22591505476892204,-0.2918185060853272,0.28169848415653853,0.1896551724137931,-2.9545811609417725,0.003130937886884233,0.01200192856638956,True
native,low_idio_volatility,-market-model residual volatility,1m,69,2418,-0.035996578042352616,0.008500279351903586,0.31658856308547934,0.5072463768115942,-0.9856234086412552,0.32431794664247526,0.79262919955336,False
native,low_idio_volatility,-market-model residual volatility,3m,67,2280,-0.08865338076917292,-0.045454545454545456,0.28494638819529206,0.40298507462686567,-1.883206054676048,0.059672448842782666,0.27449326467680024,False
native,low_idio_volatility,-market-model residual volatility,6m,64,2073,-0.13427768182538025,-0.18138186074972729,0.30627716745900196,0.3125,-1.82256834993972,0.06836879288986042,0.3144964472933579,False
native,low_idio_volatility,-market-model residual volatility,12m,58,1663,-0.24815203649302459,-0.2866245806035095,0.2805368355817676,0.13793103448275862,-3.4484657808258508,0.0005637809009968464,0.0025933921445854937,True
